Time,"STREAMS(""FEED"").Fv","STREAMS(""DIST"").Fv","STREAMS(""BOTTOMS"").Fv"
Hours,m3/hr,m3/hr,m3/hr
6.77,120.186,55.0244,71.0094
6.78,120.273,54.9641,71.2094
6.79,120.36,54.9038,71.4094
6.8,120.441,54.8561,71.5674
6.81,120.521,54.7991,72.1131
6.82,120.602,54.7295,72.2161
6.83,120.678,54.6726,72.2855
6.84,120.752,54.6282,72.3709
6.85,120.825,54.5924,72.4616
6.86,120.897,54.5593,72.5537
6.87,120.968,54.5339,72.6458
6.88,121.038,54.5084,72.7382
6.89,121.108,54.4857,72.8297
6.9,121.176,54.4657,72.9203
6.91,121.244,54.4457,73.011
6.92,121.312,54.4257,73.1017
6.93,121.378,54.4072,73.1939
6.94,121.444,54.3896,73.2869
6.95,121.509,54.3721,73.3798
6.96,121.575,54.3545,73.4728
6.97,121.64,54.3369,73.5658
6.98,121.704,54.3194,73.6622
6.99,121.768,54.3018,73.7604
7,121.831,54.2845,73.8585
7.01,121.894,54.2672,73.9567
7.02,121.957,54.2499,74.0548
7.03,122.017,54.2326,74.1463
7.04,122.078,54.2159,74.2344
7.05,122.137,54.1992,74.3224
7.06,122.197,54.1824,74.4105
7.07,122.257,54.1657,74.4986
7.08,122.314,54.15,74.582
7.09,122.371,54.1343,74.663
7.1,122.428,54.1188,74.7441
7.11,122.484,54.1033,74.8251
7.12,122.541,54.0878,74.9061
7.13,122.595,54.0733,74.9835
7.14,122.649,54.0588,75.0592
7.15,122.703,54.0446,75.1348
7.16,122.757,54.0303,75.2104
7.17,122.81,54.016,75.286
7.18,122.862,54.0025,75.3587
7.19,122.913,53.9891,75.4299
7.2,114.67,54.0868,75.8107
7.21,114.424,54.2718,74.5794
7.22,114.208,54.4955,72.3328
7.23,114.01,54.7216,70.3194
7.24,113.821,54.9413,68.672
7.25,113.639,55.1522,67.3441
7.26,113.452,55.3682,66.0824
7.27,113.28,55.5672,65.2152
7.28,113.118,55.745,64.5878
7.29,112.963,55.902,64.0832
7.3,112.814,56.0396,63.6618
7.31,112.667,56.1702,63.2674
7.32,112.527,56.2762,62.9505
7.33,112.387,56.3822,62.6335
7.34,112.252,56.4745,62.3503
7.35,112.121,56.5537,62.0993
7.36,111.99,56.6328,61.8484
7.37,111.859,56.7119,61.5974
7.38,111.733,56.7778,61.3705
7.39,111.61,56.837,61.1555
7.4,111.487,56.8963,60.9406
7.41,111.364,56.9555,60.7257
7.42,111.24,57.0148,60.5107
7.43,111.121,57.0667,60.3041
7.44,111.003,57.1152,60.1012
7.45,110.885,57.1638,59.8984
7.46,110.767,57.2123,59.6955
7.47,110.65,57.2609,59.4926
7.48,110.536,57.3038,59.3077
7.49,110.424,57.3443,59.131
7.5,110.313,57.3847,58.9542
7.51,110.201,57.4251,58.7775
7.52,110.09,57.4656,58.6008
7.53,109.982,57.5018,58.436
7.54,109.876,57.5361,58.2767
7.55,109.769,57.5704,58.1174
7.56,109.663,57.6046,57.9581
7.57,109.557,57.6389,57.7988
7.58,109.454,57.6702,57.648
7.59,109.353,57.7,57.5011
7.6,109.252,57.7299,57.3541
7.61,109.151,57.7597,57.2072
7.62,109.05,57.7896,57.0603
7.63,108.951,57.8173,56.9199
7.64,108.855,57.8439,56.7825
7.65,108.758,57.8706,56.6451
7.66,108.662,57.8973,56.5077
7.67,108.565,57.924,56.3703
